,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
25,22024,1630168,Onyeka Okongwu,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,19,8,2,5,0.4,2,2,1.0,2,2,1.0,0,3,3,0,0,0,0,0,3
26,22024,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,30,15,5,16,0.313,3,6,0.5,2,4,0.5,1,6,7,3,0,0,2,2,-3
27,22024,1629018,Gary Trent Jr.,1610612749,MIL,Milwaukee Bucks,0022401229,2024-12-14,ATL @ MIL,W,22,1,0,5,0.0,0,4,0.0,1,2,0.5,0,1,1,0,0,0,0,2,8
28,22024,203992,Bogdan Bogdanović,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,24,10,4,7,0.571,2,3,0.667,0,0,,0,1,1,1,0,0,0,2,-1
29,22024,203081,Damian Lillard,1610612749,MIL,Milwaukee Bucks,0022401229,2024-12-14,ATL @ MIL,W,37,25,8,21,0.381,5,14,0.357,4,5,0.8,0,6,6,7,3,0,2,3,5
30,22024,1642258,Zaccharie Risacher,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,17,2,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,-9
31,22024,1641748,Andre Jackson Jr.,1610612749,MIL,Milwaukee Bucks,0022401229,2024-12-14,ATL @ MIL,W,25,5,2,4,0.5,1,1,1.0,0,0,,3,4,7,4,2,0,1,4,1
32,22024,1630249,Vít Krejčí,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,5,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,-3
33,22024,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,40,35,9,18,0.5,3,5,0.6,14,17,0.824,2,5,7,10,0,1,5,4,-4
34,22024,1627752,Taurean Prince,1610612749,MIL,Milwaukee Bucks,0022401229,2024-12-14,ATL @ MIL,W,20,6,2,8,0.25,2,7,0.286,0,0,,1,2,3,0,1,0,2,2,6
35,22024,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022401229,2024-12-14,ATL @ MIL,L,29,6,3,8,0.375,0,0,,0,2,0.0,2,6,8,0,1,4,1,4,-11
36,22024,1631114,Jalen Williams,1610612760,OKC,Oklahoma City Thunder,0022401230,2024-12-14,HOU @ OKC,W,39,20,8,20,0.4,2,5,0.4,2,2,1.0,0,5,5,5,1,0,3,2,10
